Act_No,Title,PDF_URL,Status
P.U. (A) 113/2025,INCOME TAX (EXEMPTION) ORDER 2009  (AMENDMENT) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2800832/PUA113_2025.pdf,P.U.(A)
P.U. (A) 112/2025,DOUBLE TAXATION RELIEF (THE GOVERNMENT OF THE RUSSIAN FEDERATION) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2792807/PUA 112_2025.pdf,P.U.(A)
P.U. (A) 111/2025,ENTERTAINMENTS DUTY (EXEMPTION) (NO. 13) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2682911/PUA111_2025.pdf,P.U.(A)
P.U. (A) 110/2025,ENTERTAINMENTS DUTY (EXEMPTION) (NO. 12) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2682903/PUA110_2025.pdf,P.U.(A)
P.U. (A) 109/2025,ENTERTAINMENTS DUTY (EXEMPTION) (NO. 11) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2682895/PUA109_2025.pdf,P.U.(A)
P.U. (A) 108/2025,ENTERTAINMENTS DUTY (EXEMPTION) (NO. 10) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2791667/PUA108_2025.pdf,P.U.(A)
P.U. (A) 107/2025,ENTERTAINMENTS DUTY (EXEMPTION) (NO. 9) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2791657/PUA107_2025.pdf,P.U.(A)
P.U. (A) 106/2025,ENTERTAINMENTS DUTY (EXEMPTION) (NO. 8) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2679596/PUA106_2025.pdf,P.U.(A)
P.U. (A) 105/2025,ENTERTAINMENTS DUTY (EXEMPTION) (NO. 7) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2791627/PUA105_2025.pdf,P.U.(A)
P.U. (A) 104/2025,ENTERTAINMENTS DUTY (EXEMPTION) (NO. 6) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2679554/PUA104_2025.pdf,P.U.(A)
P.U. (A) 103/2025,ENTERTAINMENTS DUTY (EXEMPTION) (NO. 5) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2679541/PUA103_2025.pdf,P.U.(A)
P.U. (A) 102/2025,WATER SERVICES INDUSTRY (LICENSING) (EXEMPTION) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2790501/PUA102_2025.pdf,P.U.(A)
P.U. (A) 101/2025,ENTERTAINMENTS DUTY (EXEMPTION) (NO. 4) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2739455/PUA 101.pdf,P.U.(A)
P.U. (A) 100/2025,LOCAL SPEED LIMIT (FEDERAL ROADS) (SPECIFIED TIME PROHIBITION) (NO. 2) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2788078/PUA 100 (2025).pdf,P.U.(A)
P.U. (A) 99/2025,NATIONAL SPEED LIMIT (TEMPORARY CESSATION) (NO. 2) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2788081/PUA 99 (2025).pdf,P.U.(A)
P.U. (A) 98/2025,FEDERAL ROADS (SARAWAK) (AMENDMENT)(NO. 2) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2787356/PUA 98.pdf,P.U.(A)
P.U. (A) 97/2025,ROAD TRANSPORT (PROHIBITION OF USE OF ROAD) (FEDERAL ROADS) (NO. 5) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2786508/PUA 97.pdf,P.U.(A)
P.U. (A) 96/2025,FEDERAL ROADS (SABAH) (AMENDMENT) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2784705/PUA 96.pdf,P.U.(A)
P.U. (A) 95/2025,ENTERTAINMENTS DUTY (EXEMPTION) (NO. 3) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2786137/PUA 95.pdf,P.U.(A)
P.U. (A) 94/2025,FEDERAL ROADS (SABAH) (AMENDMENT)  ORDER 2000  CORRIGENDUM,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2784659/PUA94_2025.pdf,P.U.(A)
P.U. (A) 93/2025,FEDERAL ROADS (WEST MALAYSIA) (AMENDMENT)                (NO. 5) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2785104/PUA 93.pdf,P.U.(A)
P.U. (A) 92/2025,CUSTOMS (AMENDMENT) (NO. 2)  REGULATIONS 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2786346/PUA92_2025.pdf,P.U.(A)
P.U. (A) 91/2025,EXCISE DUTIES (EXEMPTION) (AMENDMENT)  ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2757785/PUA 91 (2025).pdf,P.U.(A)
P.U. (A) 90/2025,ROAD TRAFFIC (PROHIBITION OF DRIVING OF GOODS VEHICLES) (NO. 2) RULES 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2779730/PUA 90 (2025).pdf,P.U.(A)
P.U. (A) 89/2025,PRICE CONTROL AND ANTI-PROFITEERING (PRICE MARKING OF PRICE-CONTROLLED GOODS)  (NO. 2) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2779641/PUA89_2025.pdf,P.U.(A)
P.U. (A) 88/2025,PRICE CONTROL AND ANTI-PROFITEERING (DETERMINATION OF MAXIMUM PRICE) (NO. 2)               ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2779637/PUA88_2025.pdf,P.U.(A)
P.U. (A) 87/2025,CONTROL OF SUPPLIES (CONTROLLED ARTICLES) (NO. 2) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2779634/PUA87_2025.pdf,P.U.(A)
P.U. (A) 86/2025,MEDICAL (AMENDMENT OF SECOND SCHEDULE)  ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2772470/PUA 86 (2025).pdf,P.U.(A)
P.U. (A) 85/2025,"STREET, DRAINAGE AND BUILDING  (COMPOUNDING OF OFFENCES)  (FEDERAL TERRITORY OF LABUAN) BY-LAWS 2025",https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2772930/PUA 85.pdf,P.U.(A)
P.U. (A) 84/2025,FEDERATION LIGHT DUES (PAYMENT OF LIGHT DUES) REGULATIONS 1988,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2767288/PUA 84 2025.pdf,P.U.(A)
P.U. (A) 83/2025,ISLAMIC FINANCIAL SERVICES  (DEVELOPMENT BANK OF SARAWAK BERHAD) (EXEMPTION) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2774332/PUA83_2025.pdf,P.U.(A)
P.U. (A) 82/2025,DEVELOPMENT FINANCIAL INSTITUTIONS  (BANK PEMBANGUNAN MALAYSIA BERHAD) (EXEMPTION) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2763237/PUA82_2025.pdf,P.U.(A)
P.U. (A) 81/2025,FARMERS’ ORGANIZATION (AMENDMENT) REGULATIONS 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2761252/PUA 81_2025.pdf,P.U.(A)
P.U. (A) 80/2025,CUSTOMS DUTIES  (GOODS UNDER THE COMPREHENSIVE AND PROGRESSIVE AGREEMENT FOR TRANS-PACIFIC PARTNERSHIP) (AMENDMENT) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2723808/PUA 80_2025.pdf,P.U.(A)
P.U. (A) 79/2025,FEDERAL ROADS (WEST MALAYSIA) (AMENDMENT)  (NO. 4) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2756446/PUA 79_2025.pdf,P.U.(A)
P.U. (A) 78/2025,FRANCHISE (FRANCHISE ADVISORY BOARD)  (MEMBERS’ REMUNERATION) REGULATIONS 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2741872/PUA 78_2025.pdf,P.U.(A)
P.U. (A) 77/2025,PRINTING PRESSES AND PUBLICATIONS (CONTROL OF UNDESIRABLE PUBLICATIONS)  (NO. 5) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2745811/PUA 77.pdf,P.U.(A)
P.U. (A) 76/2025,PRINTING PRESSES AND PUBLICATIONS (CONTROL OF UNDESIRABLE PUBLICATIONS) (NO. 4) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2742254/PUA 76 (2025).pdf,P.U.(A)
P.U. (A) 75/2025,LAND PUBLIC TRANSPORT (INTERNATIONAL CIRCULATION) (ASEAN CROSS-BORDER GOODS VEHICLE) (EXEMPTION) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2725843/P.U. (A) 75_2025.pdf,P.U.(A)
P.U. (A) 74/2025,GOODS VEHICLE LEVY (EXEMPTION) (AMENDMENT) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2719639/PUA74_2025.pdf,P.U.(A)
P.U. (A) 73/2025,CUSTOMS DUTIES (EXEMPTION) (AMENDMENT) (NO. 2) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2719703/P.U. (A) 73_2025.pdf,P.U.(A)
P.U. (A) 72/2025,WATER SERVICES INDUSTRY  (SEWERAGE CAPITAL CONTRIBUTION FUND) (AMENDMENT) REGULATIONS 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2715938/P.U. (A) 72_2025.pdf,P.U.(A)
P.U. (A) 71/2025,FOOD (AMENDMENT) REGULATIONS 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2724217/P.U. (A) 71_2025.pdf,P.U.(A)
P.U. (A) 70/2025,WEIGHT RESTRICTIONS (FEDERAL ROADS) (AMENDMENT) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2717438/PUA 70 (2025).pdf,P.U.(A)
P.U. (A) 69/2025,CUSTOMS (ANTI-DUMPING DUTIES)  (EXPEDITED REVIEW) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2711349/PUA 69_2025.pdf,P.U.(A)
P.U. (A) 68/2025,TRUSTEE (INCORPORATION)  (COMPOUNDING OF OFFENCES) REGULATIONS 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2706789/PUA68_2025.pdf,P.U.(A)
P.U. (A) 67/2025,TRUSTEES (INCORPORATION) REGULATIONS 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2706906/PUA 67_2025.pdf,P.U.(A)
P.U. (A) 66/2025,TRUSTEE (COMPOUNDING OF OFFENCES)  REGULATIONS 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2706786/PUA66_2025.pdf,P.U.(A)
P.U. (A) 65/2025,TRUSTEE (EXEMPTION) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2706865/PUA 65_2025.pdf,P.U.(A)
P.U. (A) 64/2025,TRUSTEE (FINANCIAL INSTITUTIONS AND DESIGNATED NON-FINANCIAL BUSINESSES AND  PROFESSIONS) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2706853/PUA 64.pdf,P.U.(A)
P.U. (A) 63/2025,TRUSTEE (REGISTER OF BENEFICIAL OWNERSHIP) REGULATIONS 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2706788/PUA 63_2025.pdf,P.U.(A)
P.U. (A) 62/2025,TRADE DESCRIPTIONS (CERTIFICATION AND  MARKING OF HALAL) (AMENDMENT) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2705129/PUA62_2025.pdf,P.U.(A)
P.U. (A) 61/2025,FINANCIAL SERVICES (LABUAN PRODUCT LIABILITY INSURANCE AND REINSURANCE) (EXEMPTION) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2700468/PUA 61_2025.pdf,P.U.(A)
P.U. (A) 60/2025,FINANCIAL SERVICES (LABUAN DIRECTORS AND OFFICERS LIABILITY INSURANCE) (EXEMPTION) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2700026/PUA 60.pdf,P.U.(A)
P.U. (A) 59/2025,INCOME TAX (EXEMPTION) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2694377/PUA 59.pdf,P.U.(A)
P.U. (A) 58/2025,SALE OF DRUGS (CERTIFICATE OF ANALYSIS) REGULATIONS 1997,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2693237/PUA 58_2025.pdf,P.U.(A)
P.U. (A) 57/2025,CUSTOMS (ANTI-DUMPING DUTIES)  (NO. 3) ORDER 2020 (AMENDMENT) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2691008/PUA 57_2025.pdf,P.U.(A)
P.U. (A) 56/2025,ROAD TRANSPORT (PROHIBITION OF USE OF ROAD) (FEDERAL ROADS) (NO. 4) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2682262/PUA 56.pdf,P.U.(A)
P.U. (A) 55/2025,ROAD TRANSPORT (PROHIBITION OF USE OF ROAD) (FEDERAL ROADS) (NO. 3) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2681857/PUA 55.pdf,P.U.(A)
P.U. (A) 54/2025,FEDERAL ROADS (SARAWAK) (AMENDMENT) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2681819/PUA 54.pdf,P.U.(A)
P.U. (A) 53/2025,COUNTERVAILING AND ANTI-DUMPING DUTIES (AMENDMENT)  REGULATIONS 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2675338/PUA 53_2025.pdf,P.U.(A)
P.U. (A) 52/2025,CUSTOMS (ANTI-DUMPING DUTIES) (NO. 2) ORDER 2021 (AMENDMENT) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2673920/PUA52_2025.pdf,P.U.(A)
P.U. (A) 51/2025,FEDERAL ROADS (WEST MALAYSIA)  (AMENDMENT) (NO. 3) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2672768/P.U. (A) 51_2025.pdf,P.U.(A)
P.U. (A) 50/2025,NATIONAL FORESTRY (FEDERAL TERRITORIES) (AMENDMENT) RULES 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2666747/PUA50_2025.pdf,P.U.(A)
P.U. (A) 49/2025,SKILLS DEVELOPMENT FUND (FEES) (AMENDMENT) REGULATIONS 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2665809/PUA 49 (2025).pdf,P.U.(A)
P.U. (A) 48/2025,MALAYSIAN TIMBER INDUSTRY BOARD (INCORPORATION) (FORMALDEHYDE EMISSION LEVEL FROM PANEL BASED PRODUCT) REGULATIONS 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2663987/PUA 48 (2025).pdf,P.U.(A)
P.U. (A) 47/2025,CYBER SECURITY (EXEMPTION) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2663825/PUA 47 (2025).pdf,P.U.(A)
P.U. (A) 46/2025,WATER SERVICES INDUSTRY (SEWERAGE SERVICES CHARGES) (AMENDMENT) REGULATIONS 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2663657/PUA 46.pdf,P.U.(A)
P.U. (A) 45/2025,WATER SERVICES INDUSTRY (COMPOUNDING OF OFFENCES) (AMENDMENT) REGULATIONS 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2663227/PUA 45.pdf,P.U.(A)
P.U. (A) 44/2025,CUSTOMS DUTIES (EXEMPTION) (AMENDMENT) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2657486/PUA 44.pdf,P.U.(A)
P.U. (A) 43/2025,FEDERAL ROADS (WEST MALAYSIA) (AMENDMENT) (NO. 2) ORDER 2025 DISIARKAN OLEH/ PUBLISHED BY JABATAN PEGUAM NEGARA/ ATTORNEY GENERAL’S,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2659958/PUA 43.pdf,P.U.(A)
P.U. (A) 42/2025,FEDERAL ROADS (FELDA SCHEME) (AMENDMENT) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2659905/PUA 42.pdf,P.U.(A)
P.U. (A) 41/2025,LOCAL SPEED LIMIT (FEDERAL ROADS) (SPECIFIED TIME PROHIBITION) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2659611/PUA 41.pdf,P.U.(A)
P.U. (A) 40/2025,NATIONAL SPEED LIMIT (TEMPORARY CESSATION) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2659641/PUA 40.pdf,P.U.(A)
P.U. (A) 39/2025,"ANTI-MONEY LAUNDERING, ANTI-TERRORISM FINANCING AND PROCEEDS OF UNLAWFUL ACTIVITIES (DECLARATION OF SPECIFIED ENTITIES AND REPORTING REQUIREMENTS) (AMENDMENT)  ORDER 2025",https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2657386/PUA 39.pdf,P.U.(A)
P.U. (A) 38/2025,PRICE CONTROL AND ANTI-PROFITEERING (PRICE MARKING OF PRICE-CONTROLLED GOODS) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2657393/PUA 38 (2025).pdf,P.U.(A)
P.U. (A) 37/2025,PRICE CONTROL AND ANTI-PROFITEERING (DETERMINATION OF MAXIMUM PRICE) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2657395/PUA 37.pdf,P.U.(A)
P.U. (A) 36/2025,CONTROL OF SUPPLIES (CONTROLLED ARTICLES) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2657397/PUA 36 (2025).pdf,P.U.(A)
P.U. (A) 35/2025,ROAD TRAFFIC (PROHIBITION ON DRIVING OF GOODS VEHICLES) RULES 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2656876/PUA 35 (2025).pdf,P.U.(A)
P.U. (A) 34/2025,ROAD TRANSPORT (PROHIBITION OF USE OF ROAD) (FEDERAL ROADS) (NO. 2) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2655483/PUA 34.pdf,P.U.(A)
P.U. (A) 33/2025,FEDERAL ROADS (WEST MALAYSIA) (AMENDMENT)  ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2655497/PUA 33 (2025).pdf,P.U.(A)
P.U. (A) 32/2025,PRINTING PRESSES AND PUBLICATIONS (CONTROL OF UNDESIRABLE PUBLICATIONS) (NO. 3) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2651288/PUA32_2025.pdf,P.U.(A)
P.U. (A) 31/2025,PRINTING PRESSES AND PUBLICATIONS  (CONTROL OF UNDESIRABLE PUBLICATIONS) (NO. 2) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2651272/PUA 31.pdf,P.U.(A)
P.U. (A) 30/2025,APPROVED LABORATORY ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2650339/PUA 30.pdf,P.U.(A)
P.U. (A) 29/2025,CENTRAL BANK OF MALAYSIA  (EXEMPTION) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2650648/PUA29_2025.pdf,P.U.(A)
P.U. (A) 28/2025,FEDERAL ROADS (PRIVATE MANAGEMENT) (COLLECTION OF TOLLS) (SOUTH KLANG VALLEY EXPRESSWAY) (AMENDMENT) 0RDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2649300/P.U. (A) 28_2025.pdf,P.U.(A)
P.U. (A) 27/2025,FISHERIES (APPOINTMENT OF AUTHORIZED OFFICER) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2648602/P.U. (A) 27_2025.pdf,P.U.(A)
P.U. (A) 26/2025,PRINTING PRESSES AND PUBLICATIONS  (CONTROL OF UNDESIRABLE PUBLICATIONS)  ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2645927/PUA 26_2025.pdf,P.U.(A)
P.U. (A) 25/2025,OCCUPATIONAL SAFETY AND HEALTH  (SPECIAL SCHEME OF INSPECTION) REGULATIONS 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2645657/PUA 25_2025.pdf,P.U.(A)
P.U. (A) 24/2025,NATIONAL SPEED LIMIT                                     (AMENDMENT) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2645491/PUA 24 (2025).pdf,P.U.(A)
P.U. (A) 23/2025,SPEED LIMIT (WEST COAST EXPRESSWAY  (TAIPING-BANTING)) (AMENDMENT) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2645527/PUA 23 (2025).pdf,P.U.(A)
P.U. (A) 22/2025,FEDERAL ROADS (WEST COAST EXPRESSWAY  (TAIPING-BANTING)) (AMENDMENT) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2645554/PUA 22_2025.pdf,P.U.(A)
P.U. (A) 21/2025,MINISTERS OF THE FEDERAL GOVERNMENT (AMENDMENT) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2621079/PUA21_2025.pdf,P.U.(A)
P.U. (A) 130/2010,PERATURAN-PERATURAN KOPERASI (MAJLIS PERUNDINGAN KOPERASI KEBANGSAAN) 2010,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2763713_BI/P.U. (A) 130 2010 Final (Online).pdf,P.U.(A)
P.U. (A) 20/2025,CO-OPERATIVE SOCIETIES  (THE NATIONAL CO-OPERATIVE CONSULTATIVE COUNCIL) (AMENDMENT) REGULATIONS 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2638263/PUA 20 (2025).pdf,P.U.(A)
P.U. (A) 19/2025,STAMP DUTY (EXEMPTION) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2628944/PUA 19_2025.pdf,P.U.(A)
P.U. (A) 18/2025,PROCLAMATION,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2630737/PUA 18.pdf,P.U.(A)
P.U. (A) 17/2025,PROCLAMATION,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2627165/PUA 17_2025.pdf,P.U.(A)
P.U. (A) 16/2025,CUSTOMS (AMENDMENT) REGULATIONS 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2628335/PUA16_2025.pdf,P.U.(A)
P.U. (A) 15/2025,EDUCATIONAL INSTITUTIONS (DISCIPLINE) (AMENDMENT OF FIRST SCHEDULE) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2604786/PUA15_2025.pdf,P.U.(A)
P.U. (A) 14/2025,INCOME TAX (EXEMPTION) (NO. 6) ORDER 2019  (AMENDMENT) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2627347/PUA14_2025.pdf,P.U.(A)
P.U. (A) 13/2025,REGISTRATION OF PHARMACISTS (AMENDMENT OF FIRST SCHEDULE) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2609360/PUA13_2025.pdf,P.U.(A)
P.U. (A) 12/2025,INCOME TAX (EXEMPTION) (NO. 5) ORDER 2019  (AMENDMENT) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2623118/PUA12_2025.pdf,P.U.(A)
P.U. (A) 11/2025,INSOLVENCY (APPLICANT FOR REGISTRATION OF NOMINEE) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2620829/P.U. (A) 11_2025.pdf,P.U.(A)
P.U. (A) 10/2025,CUSTOMS (PROVISIONAL ANTI-DUMPING DUTIES)  (NO. 2) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2615721/PUA 10_2025.pdf,P.U.(A)
P.U. (A) 9/2025,TRADE UNIONS (ALICE SMITH SCHOOL TEACHERS’ UNION)  (EXEMPTION) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2618305/P.U. (A) 9_2025.pdf,P.U.(A)
P.U. (A) 8/2025,COMPANIES (AMENDMENT OF EIGHTH SCHEDULE) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2622436/PUA 8_2025.pdf,P.U.(A)
P.U. (A) 7/2025,COMPANIES (ACCESS TO THE REGISTER AND INFORMATION RELATING TO BENEFICIAL OWNERSHIP) REGULATIONS 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2619775/PUA 7 (2025).pdf,P.U.(A)
P.U. (A) 6/2025,CAPITAL MARKETS AND SERVICES (PRESCRIPTION OF SECURITIES) (DIGITAL CURRENCY AND DIGITAL TOKEN) (AMENDMENT) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2616297/PUA 6.pdf,P.U.(A)
P.U. (A) 5/2025,AUDIT (ACCOUNTS OF OTHER BODIES IN RECEIPT OF PUBLIC MONEYS) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2599485/PUA 5.pdf,P.U.(A)
P.U. (A) 4/2025,ENTERTAINMENTS DUTY (EXEMPTION) (NO. 2) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2612379/PUA 4_2025.pdf,P.U.(A)
P.U. (A) 3/2025,ENTERTAINMENTS DUTY (EXEMPTION) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2612155/PUA 3.pdf,P.U.(A)
P.U. (A) 2/2025,ROAD TRANSPORT (PROHIBITION OF USE OF ROAD) (FEDERAL ROADS) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2608660/PUA 2_2025.pdf,P.U.(A)
P.U. (A) 1/2025,CUSTOMS (PROVISIONAL ANTI-DUMPING DUTIES) ORDER 2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2601260/PUA 1_2025.pdf,P.U.(A)
P.U. (A) 476/2024,CAPITAL MARKETS AND SERVICES  (DISPUTE RESOLUTION) (AMENDMENT)  REGULATIONS 2024,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2598011/PUA 476_2024.pdf,P.U.(A)
P.U. (A) 475/2024,ISLAMIC FINANCIAL SERVICES (MINIMUM AMOUNT OF CAPITAL FUNDS OR SURPLUS OF ASSETS OVER LIABILITIES) (LICENSED PERSON) (AMENDMENT) ORDER 2024,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2598370/PUA475_2024.pdf,P.U.(A)
P.U. (A) 474/2024,ISLAMIC FINANCIAL SERVICES  (FINANCIAL OMBUDSMAN SCHEME)  (AMENDMENT) REGULATIONS 2024,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2599467/PUA474_2024.pdf,P.U.(A)
P.U. (A) 473/2024,DEVELOPMENT FINANCIAL INSTITUTIONS (FINANCIAL OMBUDSMAN SCHEME)  (AMENDMENT) REGULATIONS 2024,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2599248/PUA 473_2024.pdf,P.U.(A)
P.U. (A) 472/2024,FINANCIAL SERVICES (FINANCIAL OMBUDSMAN SCHEME) (AMENDMENT) REGULATIONS 2024,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2599466/PUA472_2024.pdf,P.U.(A)
