Pillar/indicator_ID;Guide_desc
5_3;"This indicator concerns the percentage of shares owned by the Government in telecom
companies, including the case in which the telecom operator is an SOE. Most of the Government
ownership in the telecommunication company limits the local and foreign ownership in the telecom
market.
When an SOE is operating in the telecommunications sector, it is important to identify (a) the
percentage of Government ownership, and (b) the company’s market share expressed as a
percentage to assess the presence of the SOE and potential impact on the respective economy’s
telecom market. Telecommunications market structures vary, for example:
- A de jure monopoly (statutory monopoly) is in place when telecommunications networks
and services must be exclusively state-owned. For example, Turkmenistan’s Law on
Communication mandates exclusive state ownership of telecom networks used for
national security and national broadcasting. Turkmentelekom TC and Altyn Asyr CJSC
(TMcell) are 100% state-owned;- A de facto monopoly exists when an SOE or private company is the sole operator in a
market but absence of a legal barrier preventing competition;
- Government ownership through a foreign SOE is when the national telecom operator is
owned by a foreign SOE, not a local Government. For example, Amalgamated Telecom
Holdings Kiribati Limited (ATHKL) is the sole telecom provider in Kiribati. The company is
a subsidiary of Fiji-based Amalgamated Telecom Holdings (ATH), which majority majority-
owned by the Fijian Government;
- Partial Government ownership without market dominance refers to when the Government
owns shares in a telecom company, but private operators dominate the market. For
example, in Thailand, market dominance differs by segment. Although the fixed line
telephone market is dominated by the National Telecom, SOE, private operators,
Advanced Wireless Network (AWN), and True Move H Universal Communication (TUC)
are dominant providers in the mobile market; and
- Multiple SOEs operating in a competitive market is when more than one SOEs operate
and compete with other SOEs and/or private operators. For example, China United
Network Communications Group (China Unicom), China Telecom Corporation Limited
(China Telecom), and China Mobile Limited are wholly owned SOEs providing basic,
mobile and value-added telecommunication services."
5_4;"This indicator asks whether the economy mandates functional and/or accounting separation for
operators with significant market power (SMP) in the telecom market. The SMP refers to the
regulatory status representing a dominant position in the telecom market. Functional and
accounting separation enhances cost transparency, promotes fair market prices, and avoids SMP
and non-discriminatory practices in telecom markets.
‘Functional separation’ (sometimes known as ‘operational separation’) refers to the separation
of units operating different activity branches in the telecommunication company. The functional
separation prevents entities with a domain position from controlling operations in another area. For
example:
- In Georgia, the National Communications Commission is empowered to identify operators
with SMP through market analysis and may require them to separate functional resources
within their networks; and
- New Zealand implemented structural separation requiring Telecom New Zealand to
separate its network operations from its retail services. Accordingly, the company was
split into two entities, which are Chorus, which operates the physical telecom
infrastructure, and Spark (formerly Telecom), which provides retail services. ‘Accounting separation’ refers to the separation of accounting records for different businesses
and parts of businesses run by the same company, so that the costs, revenue and assets
associated with each part of a business can be separately identified and properly allocated. This
kind of separation ensures that the telecom company accurately reports its financial performance
in each area of its operations. For example:
- In Armenia, operators with SMP shall maintain separate accounts for different services.
Similarly, Australia mandated a telecom company to maintain separate accounts for its
different technology units; and
- Pakistan requires a telecom service provider in both fixed and mobile services that is
determined as having an SMP in the market to submit the costs and revenues for each
regulated service, including profit and loss statement, balance sheet information, return
on capital employed and supporting notes."
5_5;"This indicator refers to a license for private telecommunication services or a license to operate
telecommunication facilities. It asks whether the licensing requirements include (a) discriminatory
conditions against foreign firms, or (b) create significant barriers to entry for both foreign and local
service providers. These may include mandatory performance requirements, separate licensing
for value-added telecommunication services, caps or limits on the number of licenses issued to
obtain licenses for providing telecom facilities or services, and capital restrictions. For example:
• Indonesia carries out administrative licensing to allocate radio frequencies rather than
holding an auction for the frequencies;
• Bangladesh mandates operators of nationwide telecommunication transmission networks
to share a portion of their revenue with the regulator starting from the second year of
operation, in addition to license acquisition and annual fees;
• Tanzania requires holders of licenses for network facilities and network services to offer
a minimum of 25% of the company’s share to the public through an initial public offering
on the stock market; and
• Other requirements, such as separate licensing requirements for value-added
telecommunication services, and caps or limits on the number of licenses issued."
5_6;"This indicator captures whether an economy is a signatory to the WTO’s Telecom Reference Paper.
The Reference Paper prescribes definitions and principles of the six regulatory frameworks for the
basic telecommunication services on competitive safeguards, interconnection, universal services
obligation, public availability of licensing criteria, independent regulators, and allocation and use
of scarce resources. The regulatory framework is legally binding for those WTO Governments
which have committed to it by appending the document, in whole or in part, to their schedules
of commitments and is enforceable through the WTO dispute settlement "
5_7;"This indicator asks whether an economy has an independent telecommunications regulator.
30 It
looks at the existence of an executive authority for the supervision and administration of services in
the telecommunications sector that is completely independent from the operator and supplier of
the telecommunication services, the Government and other interested persons in the decision-
making process and administration of decisions. An independent telecom authority is expected to
promote fair competition and not be involved in a conflict of interest. This includes two dimensions
of independence, which are functional independence and institutional and financial independence.
‘Functional independence’ refers to the regulator’s ability to carry out its duties and make
decisions impartially without interference from interested parties:
• The regulator can make decisions without approval from Government bodies or telecom
suppliers. While decisions may be overruled by higher authorities, such mechanisms
should be clearly defined, limited in scope and not used to undermine impartial regulation.
• Regulatory procedures are applied equally to all market participants. There is no
preferential treatment given to specific companies, such as SOE or dominant firms.
• While it may be established under or report to a ministry, the regulator functions
independently and is not subject to political influence in its operation.
‘Institutional and financial independence’ refers to the regulator’s organization and financial
autonomy from telecom operators and Government:
• The regulator is legally separate from the telecom service provider. It does not own,
manage or control any telecom company.
• The regulator has a dedicated budget, funded in a stable and predictable manner (e.g.,
through industry levies or a stable parliamentary appropriation), and is not subject to
arbitrary or undue budget control by the Government that could compromise its operational
autonomy.
• The regulator is authorized to recruit, appoint or manage its staff without undue interference
from Government (beyond established high-level appointments) or telecom operators."
6;"Pillar 6 deals with cross-border data policies by regulating the ways in which data flows from
one jurisdiction to another. Important policy considerations are about balancing business costs
created by the regulations with the public policy objectives to protect data and data privacy (figure
15).
Regarding business costs, the regulation of cross-border data flows tends to increase the cost of
compliance as it sets barriers for businesses to store and process data (Ferracane, 2017).
Transferring data across borders is a crucial driver of digital trade, as data is integral to the
provision of digital goods, online services and even digital-trade infrastructure. Specifically,
business models in these areas rely on ‘data value chains’. A data value chain, by connecting data
acquisition, data storage, data processing and data analysis, offers efficient and smart business
solutions for transactions. These transactions occur either within a business or between a business
and its customers. Therefore, barriers to the movement of data across borders could heighten the
costs for digital trade.
Data privacy and data protection are two sides of the same coin. Data privacy refers to an
individual’s right to retain control over the way in which their personal data is collected and used,
while data protection refers to the responsibility of entities to apply safeguard mechanisms to the
handling of data (PECC and Access Partnership, 2021). Without proper data protection, data
privacy is threatened; therefore, a high level of data privacy often presupposes strong data
protection.
Sound cross-border data policies are often based on a subtle balancing of business costs and
digital trust (figure 15). Compliance with data protection rules increases costs. However, the better
that data privacy is, and the stronger that cybersecurity is, the greater digital trust the regulatory
environment evinces in the eyes of businesses and consumers. This is because there would be
fewer data breaches, and, even if there were, stronger accountability mechanisms would exist.Pillar 6 covers regulatory measures (or lack thereof) on cross-border data transfer that do not
get justified in the light of these policy parameters, not necessarily because the measures omit
any one of the policy parameters, such as business cost, data privacy and cybersecurity, but
because the measures fail to find a proper balance of these objectives. The failure to lie in such
a balance point makes the measures possibly discourage businesses from engaging in digital
trade in the respective regulatory environments.
These regulatory measures (or lack thereof) that Pillar 6 flags tend to be more costly if they apply
to personal data rather than non-personal data. Personal data refers to any information that
relates to an identified or directly or indirectly identifiable individual. Per this definition, personal
data are generally (a) sensitive data such as name, surname, email address, identification card,
IP address, cookie ID as well as health-related data and data revealing racial or ethnic origin,
beliefs and religion, and (b) pseudonymous or ‘de-identified’ data, i.e., data that make an individual
identifiable with additional information. By contrast, non-personal data are anonymous data that
do not relate to an identified or identifiable individual.
Overregulating personal data flows has a higher opportunity cost than overregulating non-
personal data flows. Personal data is the basis of cross-border online services such as financial,
business and IT services. Companies analyse the personal data of their clients to offer the
services. Furthermore, personal data creates an opportunity for enterprises to improve their
consumer engagement for online services or other types of digital trade (Anant and others, 2020).
Personal data, such as location data, websites browsed, searches performed, apps and programs
used and Internet usage times, allows companies to understand consumers’ needs better. These
insights, in turn, help to develop new products and services as well as to personalize advertising
and marketing. In addition, personal data can often be anonymized or aggregated to become non-
personal data, allowing its use for analytical and innovative purposes without privacy concerns.
Over-regulating personal data prevents this ""unlocking"" of value."
6_1;"This indicator asks whether there is a ban on data transfer and a local processing requirement. As
the business costs arising from a ban and local processing requirements are quite subtle, these
requirements are classified under the same indicator (Ferracane, 2017).
‘Ban on data transfers’ prohibits, per se, cross-border transfer of data. ‘Local processing
requirement’ mandates that businesses process certain data domestically. Processing data refers
to various activities involving data, such as collection, organization, structuring, storage,
adaptation, use, disclosure and dissemination (European Commission, 2018a). Moreover, to
process data locally, foreign companies often need to hire domestic service providers even though
the companies may already have their own data processors. This constitutes additional costs
for them. The following are examples of local processing requirements:
• Australia requires health records that contain personal or identifying information to be
stored and processed locally;
• The Republic of Korea requires financial service providers that use cloud services to locally
process credit and unique identification information of their users; and
• Thailand requires a credit information company, information controller, or information
processor operating business in Thailand to control or process information locally.
The scoring metrics of this indicator have three features: (a) type of data, a requirement that
applies to personal data will get a higher score than a condition that applies to non-personal
data; (b) scope of data, a horizontal requirement that applies across sectors will get a higher score
than a requirement that applies only to a specific sector (such as financial services or
telecommunication sector) or specific data types (such as accounting data and health records);
and (c) number of economies, a requirement that applies to a greater number of economies will
get a higher scope than a requirement that applies to one economy. A measure applied to the
Government data should not be scored. The indicator focuses on a measure potentially affecting
commercial transactions."
6_2;"This indicator asks whether there is a local storage requirement. ‘Local storage requirement’
mandates that a copy of certain data be stored within the economy. Businesses can transfer data
across borders as long as a copy of the data is kept within the economy. The following are
examples of local storage requirements:
• Australia requires health records that contain personal or identifying information to be
stored and processed locally;
• Malawi implements a local storage requirement for health-related data;
• New Zealand requires registered entities to store specified tax-related records locally; Notably, many countries implement both requirements for sensitive data, like personal and
financial information. However, some regulations may only require that data be processed locally
to ensure it is subject to a nation's laws, while still allowing the data to be stored elsewhere after
processing is complete. Hence, in the case that the law requires both local processing and local
storage, the measures will be recorded in both places, as in the example of Australia.
• Salvador requires legal entities operating as data information agencies to maintain their
databases in the country and to allow access to the superintendence of the financial
system; and
• Türkiye requires both domestic and foreign social network providers with over one million
daily users in Türkiye to store user data within the economy.
Some examples (such as Australia) show how some economies impose both local storage and
local processing requirements under the same measure. However, the local processing
requirements are more demanding than the local storage requirements because a mandate to
process data locally typically necessitates local storage, while a local storage requirement does
not necessarily mandate local processing, thus potentially raising the cost more significantly for
firms.
The scoring metrics of this indicator have two features: (a) type of data – a requirement that applies
to personal data will get a higher score than a condition that applies to non-personal data; and (b)
scope of data – a horizontal requirement that applies across sectors will get a higher score than a
requirement that applies only to a specific sector (such as financial services or telecommunication
sector) or specific data types (such as accounting data and health records). A measure applied to
Government data should not get scored. The indicator focuses on a measure potentially affecting
commercial transactions."
6_3;"This indicator asks whether there is an infrastructure requirement. ‘Infrastructure requirement’
mandates the establishment of a local data centre as a condition to provide certain services using
data.
It is important to note that an infrastructure requirement is different from a local storage
requirement (indicator 6.1). Specifically, the local storage requirement only mandates that data be
stored within the economy but does not require the service provider to build or own a data centre;
the provider may rent or use an existing local facility or server. By contrast, infrastructure
requirement requires the service provider to establish or use dedicated local physical infrastructure
as a precondition for offering services. The following are examples of infrastructure requirements:
• Chile requires banking institutions to outsource data processing services outside the
country to have a contingency data processing centre located within the country.
• Mongolia requires servers processing sensitive, biometric and genetic data to be physically
located within the economy and comply with technical and security standards;
• Kazakhstan requires operators of communications networks to establish a local system
of centralized management for their networks; and • Viet Nam requires providers of websites, social networks, mobile networks and online
games to maintain at least one local server."
6_4;"This indicator asks whether an economy adds other conditions for cross-border data transfer.
These are another set of conditions that businesses and organizations need to satisfy to transfer
data across borders. In other words, even if businesses and organizations satisfy the local storage
or processing requirements, they do not get to transfer data unless they also satisfy the set of
conditions that this indicator deals with (assuming that the economy imposes these conditions).
These conditions prevent businesses and organizations from transferring data to economies where
the level of data protection is not adequate or equivalent to the level of domestic data protection.
The conditions vary depending on which entity decides whether a particular economy has that
requisite level of data protection (OECD, 2018). For example:
• There is no condition attached to cross-border data transfer. Thus, naturally, no entity
decides the question of the adequacy and equivalence of data protection in economies
where data gets transferred. In this case, economies often allow data flows freely across
borders, assuming that businesses and organizations that transfer the data are held
accountable and liable for possible data breaches that take place in the destination
economies;
• Data subjects, who are often individual users, decide whether to allow the transfer of their
data to a particular economy by providing their consent;
• Businesses and organizations decide it by evaluating whether a particular economy to
which data are about to be transferred has an adequate or equivalent level of data
protection;
• The Government determines that certain economies have that requisite level of data
protection.However, to determine which one of these conditions is more costly than the other is difficult. On
the one hand, the lack of such a condition, the consent mechanism, and the mechanism for
businesses and organizations’ evaluation on this spectrum of conditions, as shown in figure 16,
seems to restrict the movement of data less than the mechanism for the Government’s approval.
This is either because the movement of data lies in the autonomy of individuals (i.e., data subjects)
or because the decision-making is reserved for businesses and organizations rather than
the Government. On the other hand, individual users or even businesses may not be competent
entities for determining which economy has an adequate or equivalent level of data protection;
rather, it is the Government that is in a better position to determine that question, i.e., which
economy has an adequate level of data protection.The following are examples of these conditions:
• Brazil sets out regulations on how financial institutions and other institutions regulated
by the Brazilian Central Bank should hire cloud computing services from providers that
store or process information outside Brazil. In the absence of a formal agreement with
the regulators of the economy where the services are performed, prior authorization is
required at least 60 days in advance;
• Palau requires agencies to notify the Ministry of State and obtain individual consent before
transferring personal information abroad. The Ministry of State shall determine whether to
prohibit a transfer based on its impact on individuals, the importance of facilitating free
information flow and relevant international guidelines or treaties;
• The Republic of Korea requires permission from the Minister of Land, Infrastructure and
Transport for the transfer abroad of geographical data related to maps or photos produced
for survey purposes;
• Singapore requires that the transfer of personal data abroad comply with the Personal Data
Protection Act (PDPA) obligations. Recipients outside the country must obtain individual
consent to transfer the data and provide a comparable standard of personal data protection
as provided in the PDPA; and
• Uzbekistan allows cross-border personal data transfers if the foreign state provides
adequate protection, the data subject consents, the transfer protects public order or
citizens’ rights, or if required by international treaties. The transfers of personal data may
be restricted in order to protect the constitutional system, the rights and legitimate interests
of citizens or to ensure national security.
Accordingly, this indicator differentiates the conditions, not based on types of decision-making
entities, but based on the two features: (a) type of data, a requirement that applies to personal
data, will get a higher score than a condition that applies to non-personal data; and (b)
scope of data, a horizontal requirement that applies across sectors will get a higher
score than a requirement that applies only to a specific sector (such as financial
services or telecommunication sector) or specific data types (such as accounting data and health
records)."
6_5;"This indicator asks whether an economy has committed itself to agreements with a binding
commitment on transferring data across borders. The agreement with a binding commitment
captures all forms (preferential trade agreements or other interoperability initiatives, such as
treaties and regional agreements) and types (bilateral, plurilateral, or multinational). The binding
provision is enforceable and obliges the party to comply with the agreed provisions. Participating
in binding agreements or initiatives safeguards the flow of data and lowers compliance costs. As for trade agreements, the cross-border data flows provision generally focuses on the
commitments to transfer information, including personal information, by electronic means. The
data flows provision can be found under various denominations, for example, ‘Cross-Border
Transfer of Information by Electronic Means’, ‘Cross-Border Information Flows’, ‘Movement of
Information’ and ‘Free Flow of Data’."
7;"Pillar 7 deals with policies governing the use of data in the regulating economy. In addition to
the three policy parameters – business cost, data privacy and data protection – this pillar also
focuses on cybersecurity (figure 18). Cybersecurity refers to a Government’s enforcement efforts
to protect organizations, individuals and networks, both in the public and private sectors, from
digital attacks such as “the unauthorized access, modification and extraction of data, the theft
of proprietary information and the purposeful incapacitation of critical infrastructure, depending
on the scale and intention of the attack in question” (PECC and Access Partnership, 2021). Along
with data privacy and data protection, cybersecurity has a significant impact on digital trust."
7_1;"This indicator asks whether an economy has adopted a comprehensive data protection legal
framework that applies to personal data across sectors. The significance of data privacy protection
lies in its contribution to digital trust and assurance of legal certainty. In this regard, the lack of
data protection laws will create risks for the data subject and pose challenges for businesses.
Specifically, the absence of a data legal framework could discourage digital trade because the
data users become hesitant to entrust their data with businesses on how their rights will be enforced, and the willingness to transfer them to other economies. Businesses and organizations
can be held liable for the consequences of data breaches.
The criteria for a ‘comprehensive’ data protection legal framework include broad, cross-sectoral
(i.e., horizontal) applicability and detailed provisions on the scope and application of rights and
obligations of data subjects. The comprehensive data protection legal framework empowers
individuals to control their personal data, such as the right to access, rectification, erasure, and
data portability, and encompasses various activities, such as data collection, data processing
and the transfer of personal data across borders.
Compounding this problem is the fragmentation of data protection requirements across sectors.
Sectoral data protection obligations, such as in finance, health and education, can be interoperated
(PECC and Access Partnership, 2021). Often, several sectors are entwined with each other. As
seen in the rise of FinTech, data privacy threats to communications and IT sectors also constitute
threats to the finance sector. The education, health and e-commerce sectors are dependent on
the payments sector, which is, in some jurisdictions, also categorized as a financial entity. Thus,
the asymmetry of information from different data privacy and data protection requirements across
sectors may add compliance costs to businesses as they navigate through the complexities of
regulations.
In this context, regional agreements encourage establishing personal data protection legal
frameworks and ensure data privacy protection while facilitating the free flow of data. This
facilitation often includes mutual recognition of agreement partners' data protection certifications
or data protection trustmarks32 as a mechanism to transfer data.33"
7_2;"This indicator asks whether an economy has adopted a dedicated cybersecurity legal framework.
A cybersecurity legal framework ensures computer security incident response and potentially
discourages cybercrime, such as malicious intrusions or the dissemination of malicious codes that
affect the electronic networks. Therefore, the presence of a cybersecurity legal framework ensures
digital trust and legal certainty.
The criteria for a ‘dedicated’ cybersecurity legal framework refer to when an economy establishes
broadly applicable cybersecurity-specific laws (horizontal) or cybersecurity-focused laws applicable
to specific sectors (sectoral). A dedicated cybersecurity legal framework strengthens enforcement
against cybercrime offences. Whereas a “non-dedicated” cybersecurity legal framework refers to
an economy that does not implement specific cybersecurity laws but relies on other laws to govern
threats arising from cybercrime. This includes laws applicable to the monitoring, detection,
prevention, mitigation, and management of incidents."
7_3;"This indicator asks whether an economy imposes a minimum period of data retention
requirements. The data retention requirements regulate how long a company should keep a copy
of certain data in order and make it available upon request by the authorities.34
The purpose behind these requirements is often to help investigations on certain matters, such
as corporate affairs and tax payments or to reinforce the Government’s law enforcement efforts,
especially with regard to communication data from telecom companies.
However, these requirements can pose challenges to achieving a balance among important policy
objectives for digital trade – namely, business cost, data privacy and cybersecurity. The data
retention requirements increase compliance burdens on businesses. In particular, MSMEs often
lack resources to manage data they keep for a substantial period of time per divergent regulatory
obligations across economies. The availability of data retained for the purposes of various
regulatory investigations might create the false impression that data retention is necessary. The
mere convenience of data retention does not necessarily make it necessary. The requirements also undercut data privacy by requiring companies to store personal data for
a set period, even longer than necessary. In some cases, the data retention schemes have become
a Government tool for accessing personal data (Rucz and Kloosterboer, 2020). Last, the data
retention requirements ironically and potentially weaken cybersecurity and digital trust, because
data retention practices increase data security risks, including data leaks, abuses and misuses.
For example, potential unauthorized disclosure of, or access to, retained telecommunications data endangers users’ privacy. Hence, users may also be reluctant to engage with companies that will
store their data for long periods, except in the case of certain types of data for which a long
retention period is necessary, such as medical records.
Data retention requirements can set out a ‘minimum period of retention’.
35 Under the ‘minimum
period of retention’, firms must retain data for at least a specific period. The prescribed period
can be days, months or years.36 For example:
• In Bangladesh, data related to business transactions on e-commerce must be retained for
6 years from the transaction date.
• In Botswana, the Financial Intelligence Act requires that information obtained from the
customers through customer due diligence, account files and correspondence should be
retained for 20 years from the date the transaction was concluded and after the termination
of the business relationship;
• In Botswana, Electronic Payments Services Regulations mandate that information should
be retained for at least 5 years from the date that the transaction was concluded and after
the termination of the business relationship;
• In India, cyber cafés are required to maintain a record of the user identification document,
duly authenticated by both the user and authorized representative of the cybercafé for at
least 1 year;
• In Nauru, service providers are required to store transmitted or host information for up to
12 months and to actively check for illegal activities to avoid liability;
• In Malawi, there is a required data retention period of at least 7 years;
• In Mexico, telecommunications concessionaires must keep the data of their users for
at least 12 months in a system, and after this period, the data must be kept for an extra
12 months in an electronic storage system; and
• In Peru, concessionaires must keep specific telecommunications data related to the
services provided for a period of 12 months in a computer system, and after this, the
said data for an additional period of 24 months in an electronic storage system."
7_4;"This indicator asks whether an economy requires firms to appoint a Data Protection Officer (DPO)
or perform a Data Protection Impact Assessment (DPIA). The DPOs ensure that a company
processes personal data in compliance with data protection rules. The DPIA is a process of
identifying risks of data processing operations on users’ rights.37 For example: • Colombia mandates that data controllers and processors must appoint a person, or
division within the company, to assume responsibility for the protection of personal data,
and be in charge of reviewing and solving claims made by data subjects;
• Ghana’s Data Protection Act requires data controllers to appoint a data protection officer,
also defined as a data protection supervisor, whose role is to monitor the data controller’s
compliance with the provisions of the Act;
• Singapore requires companies to appoint one or more data protection officers to ensure
the organization’s compliance with the Personal Data Protection Act. Organizations are
also advised to conduct DPIA before releasing products or services that are likely to be
accessed by children in order to meet the Accountability Obligation under the Personal
Data Protection Act; and
• Türkiye requires companies to appoint “a data controller” who will be responsible for
compliance under the Protection of Personal Data Law. If a controller is outside Türkiye, a
local representative must be appointed. While DPO or a formal DPIA is not mandated,
organizations registered in the Data Controllers Registry (VERBIS) must designate a
contract person to communicate with the data protection authority. Data controllers are
also required to take technical and administrative measures to ensure personal data
security, including risk assessments.
While the purpose of these requirements is to ensure the data privacy of individual users and
reinforce data protection, the measures may be costly. Firms, especially MSMEs, may struggle
to hire a DPO with expertise in compliance with data laws across economies. Compounding
this is that, unlike the European Union’s General Data Protection Regulation (GDPR), data
protection laws in developing economies often fragment. It is difficult for a DPO, even if appointed,
to navigate through divergent data protection laws. A less costly alternative could be to make
the appointment voluntary as an option to show companies’ data privacy policies and practices."
7_5;"The indicator asks whether the Government can access personal data without the explicit
authorization of an independent judicial body, such as a court decision, a judicial warrant
or an equivalent order issued by a truly independent tribunal with due process safeguards. The
lack of judicial oversight of this discretionary power could violate fundamental rights and thereby
minimize trust in the digital environment. Government interference in one user’s data may also
create exploitable vulnerabilities in other accounts, such as:
• Cambodia mandates all telecommunications operators and related persons to provide
telecommunications and ICT service data to the Ministry of Post and Telecommunications.
Secret surveillance of telecommunications is allowed with the authorized of a legitimate
authority. However, there is no definition of what constitutes a “legitimate authority,”
whether it is judicial authority, or the basis on which such authority is competent to approve
surveillance;
• In Cuba, although exceptionally, the criminal investigator may use electronic surveillance
as an investigative technique without the authorization of the Attorney General of the
Republic;
• India requires ISPs to maintain a log of all users connected to their services. The ISPs
must provide a complete list of subscribers with password-controlled access to the
authorized intelligence agencies at any time; and
• Sri Lanka requires that all digital cellular mobile service operators are obligated to provide
access to their databases or networks upon request by the Telecommunications
Regulatory Commission for the purpose of obtaining subscriber information and data."
8;"Pillar 8 deals with measures governing intermediary liability. ‘Internet intermediaries’ can be
defined as “the intermediaries that bring together or facilitate transactions between third parties
on the Internet.38 They give access, transmit and index content, or provide Internet-based services
to third parties.” In this regard, they facilitate digital trade. The intermediaries include Internet
service providers (ISPs) and Internet content providers (ICPs).39
Often, the regulation of Internet intermediaries is based on the interest of reducing illegal content
over the Internet and holding perpetrators accountable. However, imposing onerous liability or
certain obligations on the Internet intermediaries would likely discourage them from participating
in digital trade in the regulated economy. Pillar 8 deals with regulatory measures that stand on an
ill-placed balance of these two competing objectives, as shown in figure 20."
8_1;"This indicator asks whether an economy has a safe harbour provision for copyright infringement.
A safe harbour provision protects the Internet intermediaries from legal liability for certain activities
performed by their users. Without this provision, the Internet intermediaries hosting content in
violation of copyrights will be, per se, legally responsible for their users’ activities even when the
intermediaries do not notice it. This may discourage investment in digital platforms. Furthermore,
the safe harbour regime supports the emergence of innovative services as it provides
intermediaries with legal certainty to conduct a wide range of activities, with less threat of potential
liability and a less chilling effect of potential litigation. This provision that protects the intermediaries from legal liability for copyright-infringing materials
can take various forms under sector-specific laws (e.g., for telecommunications or e-commerce
service providers) 40 or be applied broadly across all sectors:
• The intermediaries are protected from legal liability for copyright-infringing materials in their
platforms, and illegal activities are forbidden by different laws unless the intermediaries
contributed to them or had notice of them beforehand. For example, for safe harbour
provisions for copyright infringements, New Zealand’s Copyright (New Technologies)
Amendment Act protects ISPs from copyright-infringing content created by their users, if
they do not have specific knowledge of the infringement or immediately make such content
unavailable upon notice;
• The intermediaries are protected from legal liability for copyright-infringing materials in their
platforms as well as illegal activities under the same law. For example, Japan’s Act on
Measures Against Rights Infringement, etc. Arising from Distribution of Information by
Specified Telecommunications (Act No.137 of 2001) protects telecommunications service
providers from liability for damages caused by the distribution of information by specified
telecommunications to the right of others unless it is aware of or has a good reason to be
aware of the infringement. The telecommunications service providers also protect from any
damage caused by the deletion of content on their networks if they reasonably believe that
the content infringes intellectual property or t h e privacy of others, or if they sent a notice
to the users of such content and have not received a response within seven days; and
• The intermediaries are protected from legal liability for copyright-infringing activities but not
for illegal activities. For example, the Republic of Korea’s Copyright Act protects online
service providers (ISPs and online hosts) from copyright infringement if it is technically
impossible for them to take measures as prescribed in the listed requirements. Still, there
is no safe harbour regime for other activities apart from copyright infringement."
8_2;"This indicator asks whether an economy has a safe harbour provision for illegal activities other
than copyright infringement. As mentioned, a safe harbour provision protects the Internet
intermediaries from legal liability for certain activities performed by their users. Without this
provision, Internet intermediaries hosting illegal content other than copyright infringement will
be, per se, legally responsible for their users’ activities even when the intermediaries are not noticed
of it. This may discourage investment in digital platforms. Furthermore, the safe harbour regime
supports the emergence of innovative services as it provides intermediaries with legal certainty
to conduct a wide range of activities, with less threat of potential liability and a less chilling effect
of potential litigation. The provision that protects the intermediaries from legal liability for activities apart from the
copyright-infringing materials can take various forms under sector-specific laws 41 (e.g., for
telecommunications or e-commerce service providers) or be applied broadly across all sectors:
• The intermediaries are protected from legal liability for copyright-infringing materials on
their platforms and from illegal activities forbidden by different laws, unless the
intermediaries contributed to them or had notice of them beforehand. For example, for
other illegal activities apart from copyright infringements, New Zealand’s Harmful Digital
Communication Act provides protection to an online content host for illegal content posted
by its users; and
• The intermediaries are protected from legal liability for copyright-infringing materials on
their platforms and from illegal activities under the same law. For example, Japan’s
Act on Measures Against Rights Infringement, etc. Arising from Distribution of Information
by Specified Telecommunications (Act No.137 of 2001) protects telecommunications
service providers from liability for damages caused by the distribution of information by
specified telecommunications to the right of others unless it is aware of or has a good
reason to be aware of the infringement. The telecommunications service providers also
protect from any damages caused by the deletion of content on their networks if they
reasonably believe that the content infringes intellectual property or the privacy of others,
or if they sent a notice to the users of such content and have not received a response within
seven days."
8_3;"The indicator asks whether an economy imposes user identity requirements. The ‘user identity
requirement’ mandates that Internet intermediaries verify and record accurate personal information
of their users as a condition for accessing their services or networks. This measure includes
collecting, storing and sometimes authenticating identifying documents or other identifying data.
Such a measure can be costly in that the intermediaries are obliged to act as “gatekeepers” of the
Internet, policing their users on behalf of the Government. This requires substantial efforts for the
intermediaries to ensure that their users supply accurate personal information. For example:
• Argentina states that mobile communications service providers must store and systematise
users’ personal information in a registry of mobile service subscribers. Information that must
be provided includes the name, surname, national identity document and address of users;
• Bangladesh requires that social media intermediaries providing messaging services enable
the identification of the first originator of information and retain user registration data for
180 days after cancellation; • Rwanda requires electronic communications service providers to ensure that their users
supply accurate personal information when using a service or a network according to
the Law Governing Information Communication and Technologies;
• Tajikistan requires users to present identity documents, such as passports or registration
certificates, when concluding contracts for electronic communication services. Operators
and providers must verify these documents before offering services.
• Uganda’s Regulation of Interception of Communications Act requires intermediaries to
collect customer information (name, address, identification number), install surveillance
equipment and disclose information to the authorities upon the presentation of a warrant
or a demand from the Minister for Information and Communications Technology and
National Guidance; and
• In Venezuela, operators that provide mobile telephony services (prepaid or post-paid) must
require their subscribers to provide personal information when contracting the referred
service – for instance, their personal identification number, address, signature and
fingerprints;"
