Pillar/indicator_ID;Guide_desc
3;"Pillar 3 covers measures on foreign direct investment (FDI) in sectors related to digital trade. These
sectors include the manufacturing of telecommunication facilities, telecommunication services,
computer services and Internet services.
Tensions in public and FDI policies may exist between the interests to protect national security
and the domestic market, and the need to attract FDI (figure 9). Furthermore, as much as
telecommunication facilities, networks and other related services are critical, economies may not
want to increase their dependence on foreign investors in these sectors. However, some foreign
investment measures do not necessarily address these concerns but may risk restricting foreign
investment, reducing competition in the market, and limiting users’ opportunities to access better
quality goods and services."
3_1;"This indicator concerns the maximum foreign equity shares in sectors related to digital trade. Foreign
equity shares are shares that foreign natural or legal persons hold in a firm incorporated in the
investee economy. The indicator covers restrictions on foreign equity shares in (a) privately owned
companies; and (b) Government-controlled companies—fully or partially state-owned enterprises
(SOEs). Limitation on foreign equity shares is a direct obstacle for foreign investors that could
induce a higher level of development in the sectors.
The foreign equity shares under this Pillar focus on those applied horizontally to all sectors or
specific sectors relevant to digital trade, except telecommunication9 and e-commerce sectors,
where they are captured separately under Pillars 5 and 12. Certain economies regulate the
telecommunication and e-commerce sectors through sector-specific regulators with jurisdiction
over these areas. However, foreign equity caps applied under a horizontal framework are
recorded only under this indicator to avoid double-counting."
3_2;"This indicator asks whether there is a requirement for firms to engage in a joint venture with
a local firm in order to invest or operate in the economy. While forming a joint venture with
a domestic firm helps foreign investors to strategize business effectively in a market unfamiliar
to them and navigate through domestic regulation, the investors are in a better position than the
Government to determine whether a joint venture is necessary. Furthermore, a mandatory
requirement to form a joint venture with a domestic partner can discourage foreign investors
due to the concern that technology might be forcefully transferred. Examples of joint venture
requirements are:
• China, under a pilot policy, requires foreign providers of virtual private network (VPN)
service to form a joint venture with Chinese partners, with foreign ownership capped at
50%. In addition, such operations must be conducted within designated pilot free trade
zones;
• Egypt requires a joint venture for companies operating in trade sector projects, with
possible exceptions for projects in remote areas;
• Liberia requires a joint venture or partnership between a Liberian and a foreigner to invest
in a few businesses (commercial printing, advertising, graphics and commercial artists) if
the total shareholding of the Liberian is at least 25% and the total capital invested is not
less than US$ 300,000; and
• Vanuatu, requires foreign firms that undergo “expansion” more than three times to form a
joint partnership with a citizen of Vanuatu."
3_3;"This indicator asks whether there are nationality or residency requirements for members of the
board of directors or managers. These measures prevent foreign investors from appointing board
members or managers of their choice.10
• Nationality requirements. For example, Bhutan requires that internet service provider (ISP)
businesses must have local managers and personnel who are citizens of Bhutan.
Indonesia reserves 19 positions, including directors, managers and supervisors for
Indonesian nationals; and
• Residency requirements. For example, Palau, Kiribati and Singapore require that a
company must have at least one director to be ordinarily resident in the economy. Georgia
mandates that at least one manager of a limited liability corporation must have domicile
within the economy."
3_4;"This indicator asks whether (a) an economy has adopted any screening mechanism for foreign
investment or mergers and acquisitions (M&A) in sectors relevant to digital trade, excluding those
implemented solely for antitrust purposes, unless such mechanisms are found to be
discriminatory; and (b) whether there was a case of blocking investment or M&A based on the use
of the concerned screening measure in sectors relevant to digital trade.
Investment screening refers to regulatory mechanisms that allow Governments to review, approve,
or block foreign investments or acquisitions. The mechanisms are primarily based on either the
interests of national security and public order or purely economic interests. Even the screening
mechanisms that refer to economic interest, conditions and criteria are often unclear. The process
mostly applies in a discretionary manner, creating uncertainty for investors and potentially
discouraging investment activities. It is challenging to declare that screening mechanisms based
on national security interests are less justified than those based on economic interests or vice
versa.
Examples of the screening mechanisms in sectors relevant to the digital trade are:
• Armenia grants the authority to review foreign investments on the grounds of national
security. The terms “national defence” and “security” are not clearly defined in the law.
• Kiribati requires foreign investors to obtain prior approval and a valid investment certificate
before investing. The investment threshold of US$ 250,000 requires Cabinet approval.• In Mexico, the National Commission of Foreign Investment evaluates whether foreign
investment applications meet certain criteria, including the impact on employment and
workers’ training, technological contribution and an increase in the competitiveness of the
economy. This Commission can prevent acquisitions by foreign investment for reasons
of national security;
• New Zealand applies a three-stage investment screening process. First, a foreign investor
in a significant business asset (an investment activity that results in 25% or greater
ownership or whose value exceeds US$ 71 million) must obtain consent. Second, a foreign
investment in strategically important businesses, such as telecommunication infrastructure
and media entities, can be subjected to the national interest test, and the consent may
be declined if a transaction is contrary to national interest. Third, investment is subject to a
‘call in transaction’ under which the Government may block, impose conditions on, or order
disposal of the activities if they pose a threat to national security or public order;
• Uganda’s Investment Code Act stipulates certain screening measures for local and foreign
investors intending to invest in information technology; and
• Vanuatu conditions its approval of investment activities on the provision of employment
to locals and local capacity-building."
3_5;"This indicator asks whether an economy requires foreign service providers to establish a
commercial presence. This refers to services provided within an economy by a locally established
office, branch, subsidiary or representative office of a foreign-owned and controlled company to
offer cross-border services in sectors relevant to digital trade, corresponding to Mode 3 under the
WTO GATS.
11 However, it does not cover requirements limited to business registration that do
not involve the establishment of a physical or operational presence, for example:
• Colombia requires foreign companies to set up a branch in the country to engage in
permanent business. These include activities such as opening business offices and
intervening as a contractor of works or in the provision of services, among others;
• Lao PDR requires companies operating a satellite communication business to establish a
registered business with a local office;
• Malaysia requires that a foreign company that carries out business in Malaysia to
incorporate with a local company or register a branch within the economy;
• Pakistan requires significant social media companies—those with over 500,000 users or
listed by the Authority to establish a permanent registered office in the country, preferably
in Islamabad;• Kyrgyzstan requires entities seeking a telecommunications license to establish a local
presence by submitting legal registration documents, taxpayer identification, and other
local documentation as part of the licensing process; and
• Viet Nam requires businesses providing specific categories of online gaming services to
local users to establish a company in Viet Nam in order to obtain a license to operate."
4;"Pillar 4 deals with intellectual property rights (IPRs), which are patents, copyrights and trade
secrets. Since sectors relevant to digital trade are knowledge-intensive, IPRs play a crucial role
in fostering innovation and creativity in digital trade. Generally, as shown in figure 11, sound
policies regarding IPRs find a proper balance between the interests of protecting individual rights
to intellectual property and fostering the freedom to use and build upon existing intellectual
property. On the other hand, IP policies based on an ill-conceived balance tend to restrict digital
trade because they contribute to creating an uncertain regulatory environment."
4_1;"This indicator covers measures on the application process for patents, including differential
treatment between local and foreign applications, and the measures applied to both local and
foreign applications. The indicator asks whether (a) there is a restriction on the patent application
process, and (b) what type of restriction. There are various forms of restrictions, such as a rejection
of the patent application in a discretionary manner, a requirement to file a patent locally before
filing abroad, or a requirement to translate documents into the official languages.
For example:
• A requirement to appoint a local agent. For example, Bhutan mandates that applicants
residing or having their principal place of business outside Bhutan must be represented by
a legal practitioner residing and practicing in the economy or a registered industrial
property agent; • A requirement to translate the application into a local language. For example, Kyrgyzstan
requires patent applications to be submitted in the state or official language, that is, Kyrgyz
or Russian. Foreign applicants may file the application in another language, provided that
they include a translation into one of these two languages;
• A requirement to satisfy local requirements before filing abroad. For example, China
requires that, where a Chinese entity or individual intends to file a patent application in
a foreign economy for an invention made in China, the applicant must submit a request
for a confidential examination to the patent administration department. This provision is
applicable to all Chinese entities, including a subsidiary of a foreign company which is also
considered a Chinese entity; and
• A requirement to register foreign patents locally. For example, Nepal introduces a regime
where foreign patents are not valid in Nepal unless they are registered in Nepal."
4_2;"This indicator asks whether an economy’s legal framework concerning patents incorporates (a)
civil and administrative procedures; and (b) provisional measures.12
According to the WTO Trade-Related Aspects of Intellectual Property Rights (TRIPS) Agreement,
Part III enforcement of intellectual property rights, Articles 42-49 (Section 2 civil and administrative
procedures and remedies), 13 right-holders are permitted to pursue civil and administrative
procedures in cases of intellectual property rights infringements. Judicial authorities are
empowered to request the infringers to pay the right holder damages adequately to compensate
for the arising injuries.
Moreover, regarding the provisional measures, the WTO TRIPS Article 50 (Section 3 provisional
measures) prescribes that the judicial authorities shall have the authority to order prompt and
effective provisional measures: (a) to prevent an infringement of any intellectual property rights
from occurring, and in particular to prevent the entry into the channels of commerce in their
jurisdiction of goods, including imported goods immediately after customs clearance; and (b) to
preserve relevant evidence in regard to the alleged infringement. If the provisional measures are
implemented, the parties involved shall be given notice without delay. The provisional measures
often include temporary remedies, such as the seizure or detention of suspected infringing
products, or orders to preserve documents and other materials.
The legal framework considered under this indicator is not limited to dedicated intellectual property
or patent laws. General laws, such as the Civil Code or procedural laws, are applicable. For
example:
- In Azerbaijan, patent infringement is addressed through administrative, civil and criminal
procedures. If parties cannot agree on compensation, disputes are resolved in court under
the Civil Procedure Code. Provisional measures are authorized by the courts under the Civil Procedure Code and the Law on Enforcement of Intellectual Property Rights and Combating
Piracy, which also governs enforcement and remedies; and
- In the Philippines, patent holders can seek civil remedies such as damages, attorney’s fees,
injunctions, and destruction of infringing goods, with provisional measures like temporary
injunctions available under the Intellectual Property Code. Severe cases may lead to triple
damages and criminal penalties, including imprisonment and fines."
4_3;"This indicator covers measures on the enforcement of patents. The indicator asks whether there
is a restriction on patent enforcement and the scope of such restriction.
The measures that will get scored may include, for example, different terms of patent protection
that discriminate against the enforcement of foreign patent applicants or when patent holders’
rights are restricted by state intervention.
14 Whether patent enforcement restrictions are applied
horizontally across all sectors or limitedly to specific circumstances or sectors can have different
impacts on businesses.
Exceptions to patent rights allowed under the WTO TRIPS, notably Articles 30 (exceptions to rights
conferred), 31 (other use without authorization of the right holder) and 31bis, are not considered
as restrictions on patent enforcement issues. Specifically, Article 30 allows limited exceptions to
patent rights as long as they do not unreasonably conflict with the normal exploitation of the patent
or prejudice the legitimate interests of the patent owner.15 Article 31 and Article 31bis are about
‘compulsory license, permitting the Government use to address public health, national
emergencies, or other circumstances of extreme urgency, with adequate remuneration to the
patent holder.16 These exceptions are in place to balance patent rights and public interest, rather
than constituting enforcement restrictions."
