Start_Index,Act_No,Title,Date_of_Royal_Assent,Publication_Date,Date_of_Commencement,PDF_URL
0,843,PRESERVATION OF PUBLIC SECURITY (SABAH) ACT 1962 (REVISED - 2023),11/05/1962,22/02/2023,01/03/2023,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1785296_BI/Act 843 warta 2023.pdf
0,842,PENANG FREE SCHOOL ACT 1920 (REVISED - 2023),,22/02/2023,01/03/2023,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1785307_BI/Act 842 Penang Free School Act 1920.pdf
0,841,PENSIONS ACT 1951 (REVISED - 2022),25/02/1951,07/11/2022,15/11/2022,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1746994_BI/Act 841.BI.pdf
0,840,ANTI-SEXUAL HARASSMENT ACT 2022,08/10/2022,18/10/2022,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1745931_BI/WJW220000 BI.pdf
0,839,"INDEPENDENT POLICE CONDUCT COMMISSION
ACT 2022",08/10/2022,18/10/2022,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1745930_BI/ACT 839.pdf
0,838,HOUSEWIVES' SOCIAL SECURITY ACT 2022,23/09/2022,03/10/2022,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1744513_BI/WJW22_1107 BI Teks.pdf
0,837,MALAYSIAN BORDER SECURITY AGENCY (DISSOLUTION) ACT 2022,24/08/2022,01/09/2022,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1741727_BI/ACT 837.pdf
0,836,GEOGRAPHICAL INDICATIONS ACT 2022,16/03/2022,18/03/2022,18/03/2022,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1726100_BI/Act 836.pdf
0,835,FACTORIES AND MACHINERY (REPEAL) ACT 2022,04/03/2022,16/03/2022,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1725650_BI/Act 835.pdf
0,834,MALAYSIAN SPACE BOARD ACT 2022,19/01/2022,25/01/2022,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1721500_BI/Act 834.pdf
0,833,FINANCE ACT 2021,30/12/2021,31/12/2021,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1719465_BI/ACT 833.pdf
0,832,"SOCIETIES ACT 1966
(REVISED - 2021)",20/01/1966,15/11/2021,01/12/2021,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1714338_BI/832 Teks BI.pdf
0,831,FINANCE ACT 2020,31/12/2020,31/12/2020,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1696025_BI/ACT 831.pdf
0,830,"TEMPORARY MEASURES FOR GOVERNMENT
FINANCING (CORONAVIRUS DISEASE 2019
(COVID-19)) ACT 2020",22/10/2020,26/10/2020,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1684840_BI/WJW000000 Act 830.pdf
0,829,"TEMPORARY MEASURES FOR REDUCING
THE IMPACT OF CORONAVIRUS DISEASE 2019
(COVID-19) ACT 2020",16/10/2020,23/10/2020,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1684650_BI/Act 829.pdf
0,828,NATIONAL LAND CODE (REVISED - 2020),,15/10/2020,06/12/2024,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/20201015_828_BI_WJW015175 National Land Code Act 828 (Pewartaan).pdf
0,827,CURRENCY ACT 2020,14/02/2020,28/02/2020,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/759540_BI/WJW014846 BI.pdf
0,826,FOOD DONORS PROTECTION ACT,30/01/2020,10/02/2020,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/758002_BI/Act 826 BI.pdf
0,825,ANTI-FAKE NEWS (REPEAL) ACT 2020,20/01/2020,30/01/2020,31/01/2020,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/757236_BI/Act 825 BI.pdf
0,824,MALAYSIAN HEALTH PROMOTION BOARD (DISSOLUTION) ACT 2019,30/12/2019,31/12/2019,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/20191231_824_BI_Act 824.pdf
0,823,FINANCE ACT 2019,30/12/2019,31/12/2019,01/07/2020,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1696015_BI/Act 823.pdf
0,822,NATIONAL ANTI-FINANCIAL CRIME CENTRE ACT 2019,30/12/2019,31/12/2019,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/20191231_822_BI_Act 822.pdf
0,821,PENANG AND PROVINCE WELLESLEY JUBILEE FUND ACT 1965 (REVISED - 2019),,27/12/2019,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/20191227_821_BI_WJW014498 Penang and Province Wallesley Jubilee Fund Act 1965 [Act 821].pdf
0,820,THE SUPERIOR OF THE INSTITUTE OF THE FRANCISCAN MISSIONARIES OF MARY (INCORPORATION) ACT 1957 (REVISED - 2019),,27/12/2019,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/20191227_820_BI_WJW014497 The Superior of the Institute of the Franciscan Missionaries o....pdf
