Start_Index,Publication_Date,PU_No,Title,Status,Date_of_Commencement,PDF_URL
0,2025-09-30,P.U. (A) 401/2003,MONEYLENDERS (COMPOUNDING OF OFFENCES) REGULATIONS 2003,REPRINT ONLINE,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/3103707_BM/P.U. (A) 401 2003 (Dalam talian 2025).pdf
0,2025-09-26,P.U. (A) 343/2025,MEDICAL (AMENDMENT OF SECOND SCHEDULE) (NO. 2) ORDER 2025,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3090744/PUA 343_2025.pdf
0,2025-09-26,P.U. (A) 342/2025,MINISTERS OF THE FEDERAL GOVERNMENT (AMENDMENT) (NO. 3) ORDER 2025,AMENDMENT,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3092228/PUA 342_2025.pdf
0,2025-09-23,P.U. (A) 341/2025,MEDICAL ASSISTANTS (REGISTRATION)  (AMENDMENT) REGULATIONS 2025,AMENDMENT,01/10/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3085952/PUA 341 (2025).pdf
0,2025-09-23,P.U. (A) 340/2025,ENTERTAINMENTS DUTY (EXEMPTION) (NO. 32) ORDER 2025,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3088538/PUA 340 (2025).pdf
0,2025-09-23,P.U. (A) 339/2025,ENTERTAINMENTS DUTY (EXEMPTION) (NO. 31) ORDER 2025,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3088517/PUA 339 (2025).pdf
0,2025-09-22,P.U. (A) 338/2025,ENTERTAINMENTS DUTY (EXEMPTION) (NO. 30) ORDER 2025,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3015030/PUA 338 (2025).pdf
0,2025-09-21,P.U. (A) 337/2025,IMMIGRATION (EXEMPTION) ORDER 2025,PRINCIPAL,22/09/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3083215/PUA 337_2025.pdf
0,2025-09-18,P.U. (A) 336/2025,PENANG PORT COMMISSION (AMENDMENT) BY-LAWS 2025,AMENDMENT,19/09/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3079836/PUA 336.pdf
0,2025-09-15,P.U. (A) 395/1993,PUBLIC OFFICERS (CONDUCT AND DISCIPLINE) REGULATIONS 1993,REPRINT ONLINE,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2207035_BM/P.U. (A) 395.1993 (Dalam talian 2025).pdf
0,2025-09-12,P.U. (A) 335/2025,LICENSEE SUPPLY (AMENDMENT) REGULATIONS 2025,AMENDMENT,01/10/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3075012/PUA335_2025.pdf
0,2025-09-12,P.U. (A) 334/2025,ENTERTAINMENTS DUTY  (EXEMPTION) (NO. 29) ORDER 2025,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3015019/P.U. (A) 334_2025.pdf
0,2025-09-12,P.U. (A) 333/2025,ENTERTAINMENTS DUTY  (EXEMPTION) (NO. 28) ORDER 2025,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3015018/P.U. (A) 333_2025.pdf
0,2025-09-12,P.U. (A) 332/2025,ENTERTAINMENTS DUTY  (EXEMPTION) (NO. 27) ORDER 2025,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3015017/P.U. (A) 332_2025.pdf
0,2025-09-12,P.U. (A) 331/2025,ENTERTAINMENTS DUTY (EXEMPTION) (NO. 26) ORDER 2025,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3015011/P.U. (A) 331_2025.pdf
0,2025-09-11,P.U. (A) 330/2025,MEDICAL DEVICE (AMENDMENT) REGULATIONS 2025,AMENDMENT,01/01/2026,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3071230/PUA 330_2025.pdf
0,2025-09-11,P.U. (A) 329/2025,ENTERTAINMENTS DUTY (EXEMPTION) (NO. 25) ORDER 2025,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3015005/PUA329_2025.pdf
0,2025-09-11,P.U. (A) 328/2025,ENTERTAINMENTS DUTY (EXEMPTION) (NO. 24) ORDER 2025,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3015007/PUA328_2025.pdf
0,2025-09-10,P.U. (A) 327/2025,TOURISM INDUSTRY (TOUR OPERATING BUSINESS  AND TRAVEL AGENCY BUSINESS) (AMENDMENT) REGULATIONS 2025,AMENDMENT,12/09/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3069020/PUA 327_2025.pdf
0,2025-09-09,P.U. (A) 326/2025,LABUAN BUSINESS ACTIVITY TAX (REQUIREMENTS FOR LABUAN INTERNATIONAL COMMODITY TRADING COMPANY) (AMENDMENT) REGULATIONS 2025,AMENDMENT,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3066710/PUA 326.pdf
0,2025-09-09,P.U. (A) 325/2025,LABUAN BUSINESS ACTIVITY TAX (REQUIREMENTS FOR LABUAN BUSINESS ACTIVITY) (AMENDMENT) REGULATIONS 2025,AMENDMENT,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3066702/PUA 325 (2025).pdf
0,2025-08-29,P.U. (A) 324/2025,TRADITIONAL AND COMPLEMENTARY MEDICINE      (AMENDMENT) REGULATIONS 2025,AMENDMENT,01/09/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3048342/PUA 324 (2025).pdf
0,2025-08-29,P.U. (A) 323/2025,SALES TAX (PERSONS EXEMPTED FROM  PAYMENT OF TAX) (AMENDMENT) ORDER 2025,AMENDMENT,01/09/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3052141/P.U. (A) 323_2025.pdf
0,2025-08-29,P.U. (A) 322/2025,CUSTOMS DUTIES (EXEMPTION)  (AMENDMENT) (NO. 4) ORDER 2025,AMENDMENT,01/09/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3052140/P.U. (A) 322_2025.pdf
0,2025-08-29,P.U. (A) 321/2025,CUSTOMS DUTIES (GOODS UNDER THE  MALAYSIA-UNITED ARAB EMIRATES COMPREHENSIVE ECONOMIC PARTNERSHIP AGREEMENT) (AMENDMENT)  ORDER 2025,AMENDMENT,01/09/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3052128/P.U. (A) 321_2025.pdf
0,2025-08-29,P.U. (A) 320/2025,CUSTOMS (AMENDMENT) (NO. 4)  REGULATIONS 2025,AMENDMENT,01/09/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3033467/PUA 320 (2025).pdf
0,2025-08-29,P.U. (A) 319/2025,ROAD TRANSPORT (FEE AND CHARGE FOR ERECTING STRUCTURES FOR ADVERTISEMENT ON FEDERAL ROAD) RULES 2025,PRINCIPAL,01/09/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3049845/P.U. (A) 319_2025.pdf
0,2025-08-29,P.U. (A) 318/2025,SPEED LIMIT (EAST KLANG VALLEY EXPRESSWAY) ORDER 2025,PRINCIPAL,30/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3048058/P.U. (A) 318_2025.pdf
0,2025-08-29,P.U. (A) 317/2025,FEDERAL ROADS (EAST KLANG VALLEY EXPRESSWAY)  ORDER 2025,PRINCIPAL,30/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3048088/PUA 317 (2025).pdf
0,2025-08-29,P.U. (A) 316/2025,CUSTOMS DUTIES  (DUTY-FREE AREA AT PENGKALAN KUBOR)  ORDER 2025,PRINCIPAL,02/09/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3051491/PUA 316 (2025).pdf
0,2025-08-28,P.U. (A) 315/2025,TRADEMARKS (REDUCTION OF FEE) REGULATIONS 2025,PRINCIPAL,01/09/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3050811/PUA 315.pdf
0,2025-08-28,P.U. (A) 314/2025,MALAYSIAN ANTI-CORRUPTION COMMISSION (PROCEDURE OF MEETINGS FOR SPECIAL COMMITTEE  ON CORRUPTION) REGULATIONS 2025,PRINCIPAL,01/09/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3050707/PUA 314_2025.pdf
0,2025-08-28,P.U. (A) 313/2025,TRADE DESCRIPTIONS (CERTIFICATION AND MARKING OF HALAL) (AMENDMENT) (NO. 2) ORDER 2025,AMENDMENT,29/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3038677/PUA 313_2025.pdf
0,2025-08-28,P.U. (A) 312/2025,FEDERAL ROADS (PRIVATE MANAGEMENT)  (COLLECTION OF TOLLS) (KAJANG TRAFFIC DISPERSAL RING ROAD) (AMENDMENT) ORDER 2025,AMENDMENT,31/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3050670/PUA 312.pdf
0,2025-08-28,P.U. (A) 311/2025,FEDERAL ROADS (PRIVATE MANAGEMENT)  (COLLECTION OF TOLLS) (JITRA-SUNGAI DUA (BUTTERWORTH) EXPRESSWAY)) (AMENDMENT)  ORDER 2025,AMENDMENT,31/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3049847/PUA 311.pdf
0,2025-08-28,P.U. (A) 310/2025,FEDERAL ROADS (PRIVATE MANAGEMENT)  (COLLECTION OF TOLLS) (GUTHRIE CORRIDOR EXPRESSWAY) (NO. 2) (AMENDMENT) ORDER 2025,AMENDMENT,31/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3047912/PUA 310_2025.pdf
0,2025-08-28,P.U. (A) 309/2025,FEDERAL ROADS (PRIVATE MANAGEMENT)  (COLLECTION OF TOLLS) (DUTA-ULU KELANG EXPRESSWAY PHASE 2 TUN RAZAK LINK)  (AMENDMENT) ORDER 2025,AMENDMENT,31/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3047898/PUA 309_2025.pdf
0,2025-08-28,P.U. (A) 308/2025,FEDERAL ROADS (PRIVATE MANAGEMENT)  (COLLECTION OF TOLLS) (DUTA-ULU KELANG EXPRESSWAY PHASE 2 SRI DAMANSARA LINK) (AMENDMENT) ORDER 2025,AMENDMENT,31/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3047844/PUA 308_2025.pdf
0,2025-08-28,P.U. (A) 307/2025,FEDERAL ROADS (PRIVATE MANAGEMENT)  (COLLECTION OF TOLLS) (DUTA-ULU KELANG EXPRESSWAY) (AMENDMENT) ORDER 2025,AMENDMENT,31/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3047834/PUA 307_2025.pdf
0,2025-08-28,P.U. (A) 306/2025,FEDERAL ROADS (PRIVATE MANAGEMENT)  (COLLECTION OF TOLLS) (MAJU EXPRESSWAY HIGHWAY) (AMENDMENT) ORDER 2025,AMENDMENT,31/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3048009/PUA 306.pdf
0,2025-08-28,P.U. (A) 305/2025,FEDERAL ROADS  (PRIVATE MANAGEMENT) (COLLECTION OF TOLLS) (SUNGAI BESI-ULU KELANG ELEVATED EXPRESSWAY) (AMENDMENT) ORDER 2025,AMENDMENT,31/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3048002/PUA 305.pdf
0,2025-08-28,P.U. (A) 304/2025,FEDERAL ROADS (PRIVATE MANAGEMENT) (COLLECTION OF TOLLS) (BUTTERWORTH OUTER  RING ROAD) (AMENDMENT) ORDER 2025,AMENDMENT,31/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3047986/PUA 304.pdf
0,2025-08-28,P.U. (A) 303/2025,FEDERAL ROADS (PRIVATE MANAGEMENT)  (COLLECTION OF TOLLS) (NEW PANTAI HIGHWAY) (AMENDMENT) ORDER 2025,AMENDMENT,31/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3047754/PUA 303_2025.pdf
0,2025-08-28,P.U. (A) 302/2025,FEDERAL ROADS (PRIVATE MANAGEMENT)  (COLLECTION OF TOLLS) (SUNGAI BESI HIGHWAY) (AMENDMENT) ORDER 2025,AMENDMENT,31/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3047735/PUA 302_2025.pdf
0,2025-08-28,P.U. (A) 301/2025,FEDERAL ROADS (PRIVATE MANAGEMENT)  (COLLECTION OF TOLLS) (EAST COAST  EXPRESSWAY-PHASE 2) (AMENDMENT) ORDER 2025,AMENDMENT,31/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3047720/PUA 301_2025.pdf
0,2025-08-28,P.U. (A) 300/2025,FEDERAL ROADS (PRIVATE MANAGEMENT)  (COLLECTION OF TOLLS) (NEW NORTH KLANG STRAITS BYPASS EXPRESSWAY) (AMENDMENT) ORDER 2025,AMENDMENT,31/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3047282/PUA 300.pdf
0,2025-08-28,P.U. (A) 299/2025,FEDERAL ROADS (PRIVATE MANAGEMENT)  (COLLECTION OF TOLLS) (SEREMBAN-PORT DICKSON EXPRESSWAY) (AMENDMENT) ORDER 2025,AMENDMENT,31/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3047337/PUA 299.pdf
0,2025-08-28,P.U. (A) 298/2025,FEDERAL ROADS (PRIVATE MANAGEMENT)  (COLLECTION OF TOLLS) (JAMBATAN SULTAN ABDUL HALIM MU’ADZAM SHAH) (AMENDMENT) ORDER 2025,AMENDMENT,31/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3047328/PUA 298_2025.pdf
0,2025-08-28,P.U. (A) 297/2025,FEDERAL ROADS (PRIVATE MANAGEMENT)  (COLLECTION OF TOLLS) (SOUTH KLANG VALLEY EXPRESSWAY) (AMENDMENT) ORDER 2025,AMENDMENT,31/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3047319/PUA 297_2025.pdf
0,2025-08-28,P.U. (A) 296/2025,FEDERAL ROADS (PRIVATE MANAGEMENT)  (COLLECTION OF TOLLS) (KL-KUALA SELANGOR EXPRESSWAY) (AMENDMENT) ORDER 2025,AMENDMENT,31/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3047290/PUA 296_2025.pdf
0,2025-08-28,P.U. (A) 295/2025,FEDERAL ROADS (PRIVATE MANAGEMENT) (COLLECTION OF TOLLS) (SETIAWANGSA-PANTAI EXPRESSWAY) (AMENDMENT) ORDER 2025,AMENDMENT,31/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3047946/PUA 295.pdf
0,2025-08-28,P.U. (A) 294/2025,FEDERAL ROADS (PRIVATE MANAGEMENT) (COLLECTION OF TOLLS) (STORM WATER MANAGEMENT AND ROAD TUNNEL HIGHWAY (SMART)) (AMENDMENT) ORDER 2025,AMENDMENT,31/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3047932/PUA 294.pdf
0,2025-08-28,P.U. (A) 293/2025,FEDERAL ROADS (PRIVATE MANAGEMENT)  (COLLECTION OF TOLLS) (PENANG BRIDGE) (AMENDMENT) ORDER 2025,AMENDMENT,31/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3047924/PUA 293.pdf
0,2025-08-28,P.U. (A) 292/2025,FEDERAL ROADS (PRIVATE MANAGEMENT)  (COLLECTION OF TOLLS) (BUTTERWORTH-KULIM EXPRESSWAY) (AMENDMENT) ORDER 2025,AMENDMENT,31/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3047800/PUA 292.pdf
